well_id,barcode,mapped_batch_id,mapped_control,cpmd_pg,dmso_mM,pert_type,site_id,cell_tot,area,min_diameter,max_diameter,seeded,painted
B02,PB000095,0,0,4e-10,10.0,poscon,s1,125,103.64880440114344,0.8063321966091317,179.00077322512246,2023-07-04  10:22:00,2023-07-06  10:40:00
B02,PB000095,0,0,4e-10,10.0,poscon,s2,100,97.6586476241915,0.7774397422431327,166.33685406003613,2023-07-04  10:22:00,2023-07-06  10:40:00
B03,PB000093,3,0,4.0000000000000004e-11,1.0,poscon,s1,48,98.7876004369267,0.7337812790689746,217.12776719528196,2023-07-04  10:21:30,2023-07-06  10:40:00
B03,PB000093,3,0,4.0000000000000004e-11,1.0,poscon,s2,49,133.4837925419544,0.8703708309117737,211.95899383735835,2023-07-04  10:21:30,2023-07-06  10:40:00
B04,PB000094,0,0,4e-10,10.0,poscon,s1,202,126.64613427760143,0.8356986025902252,206.4782376204439,2023-07-04  10:46:30,2023-07-06  12:49:00
B04,PB000094,0,0,4e-10,10.0,poscon,s2,231,131.79641048290887,0.7976931355657569,215.86505367613432,2023-07-04  10:46:30,2023-07-06  12:49:00
B05,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,231,126.67979875586012,0.8312139864218423,202.79057624752343,2023-07-04  10:20:00,2023-07-06  10:40:00
B05,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,210,134.08648262918865,0.7917780234085785,218.95086106444683,2023-07-04  10:20:00,2023-07-06  10:40:00
B06,PB000098,3,0,3.90625e-11,10.0,poscon,s1,221,131.87955915018728,0.8266725889871472,208.19383888964887,2023-07-04  10:47:30,2023-07-06  12:49:00
B06,PB000098,3,0,3.90625e-11,10.0,poscon,s2,191,114.85520126689266,0.7941984081223479,203.0595701396801,2023-07-04  10:47:30,2023-07-06  12:49:00
B07,PB000091,2,1,3.90625e-11,10.0,negcon,s1,235,132.38173323535506,0.7942634805877621,225.54230867086216,2023-07-04  10:21:00,2023-07-06  10:40:00
B07,PB000091,2,1,3.90625e-11,10.0,negcon,s2,166,121.059080128688,0.8093415217032127,197.5707946591254,2023-07-04  10:21:00,2023-07-06  10:40:00
B08,PB000102,1,1,1e-10,14079098.93766799,negcon,s1,133,100.43798304319876,0.7862732314446759,169.1267246894376,2023-07-04  10:48:30,2023-07-06  12:49:00
B08,PB000102,1,1,1e-10,14079098.93766799,negcon,s2,120,108.24260576505066,0.8102579765366562,176.46400510257246,2023-07-04  10:48:30,2023-07-06  12:49:00
B09,PB000095,2,1,4e-10,10.0,negcon,s1,140,104.0233525745232,0.7986957175697695,179.95374900234626,2023-07-04  10:22:00,2023-07-06  10:40:00
B09,PB000095,2,1,4e-10,10.0,negcon,s2,155,118.88854863448012,0.7840078999939549,195.99707455736984,2023-07-04  10:22:00,2023-07-06  10:40:00
B10,PB000090,3,0,3.90625e-11,10.0,poscon,s1,189,106.2609268013646,0.8301184204220601,170.6558731757345,2023-07-04  10:45:30,2023-07-06  12:49:00
B10,PB000090,3,0,3.90625e-11,10.0,poscon,s2,181,127.14730547443313,0.7918670167304054,207.58920009672343,2023-07-04  10:45:30,2023-07-06  12:49:00
B11,PB000102,1,1,1e-10,14079098.93766799,negcon,s1,249,117.25436489369312,0.792899766297197,199.96440864731863,2023-07-04  10:48:30,2023-07-06  12:49:00
B11,PB000102,1,1,1e-10,14079098.93766799,negcon,s2,183,129.42350197543055,0.7694553651933858,226.8784233596456,2023-07-04  10:48:30,2023-07-06  12:49:00
B12,PB000097,0,0,4e-10,10.0,poscon,s1,185,112.54218578678142,0.7852225079241054,191.85190240940784,2023-07-04  10:22:30,2023-07-06  10:40:00
B12,PB000097,0,0,4e-10,10.0,poscon,s2,159,115.43718737406948,0.7432361437834237,210.765051238749,2023-07-04  10:22:30,2023-07-06  10:40:00
B13,PB000089,0,0,3.90625e-11,10.0,poscon,s1,196,138.48405165476973,0.7688989276499464,230.5926350658657,2023-07-04  10:20:30,2023-07-06  10:40:00
B13,PB000089,0,0,3.90625e-11,10.0,poscon,s2,195,129.31763250868792,0.7446173828839685,224.3641364218666,2023-07-04  10:20:30,2023-07-06  10:40:00
B14,PB000097,3,0,3.90625e-11,10.0,poscon,s1,216,132.20744626098212,0.8037182455261467,208.6989722831057,2023-07-04  10:22:30,2023-07-06  10:40:00
B14,PB000097,3,0,3.90625e-11,10.0,poscon,s2,183,126.861863400405,0.8380394321508607,212.5453573645696,2023-07-04  10:22:30,2023-07-06  10:40:00
B15,PB000096,1,1,1e-10,14079098.93766799,negcon,s1,227,130.60893777636542,0.8204743695145605,211.07992226088763,2023-07-04  10:47:00,2023-07-06  12:49:00
B15,PB000096,1,1,1e-10,14079098.93766799,negcon,s2,264,125.5880823183588,0.7771017873228918,215.27335729121543,2023-07-04  10:47:00,2023-07-06  12:49:00
B16,PB000099,2,1,3.90625e-11,10.0,negcon,s1,37,24.12790219433249,0.779142618979177,43.72158949762713,2023-07-04  10:23:00,2023-07-06  10:40:00
B16,PB000099,2,1,3.90625e-11,10.0,negcon,s2,25,43.38827673081061,0.7986936651638128,77.97558837631601,2023-07-04  10:23:00,2023-07-06  10:40:00
B17,PB000089,1,1,1e-10,14079098.93766799,negcon,s1,243,121.68547592908398,0.8014733957909991,200.7975811816845,2023-07-04  10:20:30,2023-07-06  10:40:00
B17,PB000089,1,1,1e-10,14079098.93766799,negcon,s2,260,132.92847330455845,0.8088949617643189,225.1007050282122,2023-07-04  10:20:30,2023-07-06  10:40:00
B18,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,230,114.4514870923628,0.7779561605278578,192.2311952623682,2023-07-04  10:21:30,2023-07-06  10:40:00
B18,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,215,134.34936626246702,0.7973440737827608,220.94467063249576,2023-07-04  10:21:30,2023-07-06  10:40:00
B19,PB000094,1,1,1e-10,14079098.93766799,negcon,s1,132,115.606467333366,0.7539050723717406,202.54256653501915,2023-07-04  10:46:30,2023-07-06  12:49:00
B19,PB000094,1,1,1e-10,14079098.93766799,negcon,s2,93,139.1026058041638,0.8233869982544408,221.52488329163523,2023-07-04  10:46:30,2023-07-06  12:49:00
B20,PB000090,1,1,1e-10,14079098.93766799,negcon,s1,125,103.86952956213734,0.7999919349393889,184.98693602667845,2023-07-04  10:45:30,2023-07-06  12:49:00
B20,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,113,129.5908550469107,0.8205556732493058,196.52451096735643,2023-07-04  10:45:30,2023-07-06  12:49:00
B21,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,234,134.71106188106415,0.7605712633537685,229.15186103055595,2023-07-04  10:20:00,2023-07-06  10:40:00
B21,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,201,142.37149080988468,0.8071552470634548,223.9913560244704,2023-07-04  10:20:00,2023-07-06  10:40:00
B22,PB000095,1,1,1e-10,14079098.93766799,negcon,s1,213,120.85226828774604,0.7790095737990794,198.99074991340092,2023-07-04  10:22:00,2023-07-06  10:40:00
B22,PB000095,1,1,1e-10,14079098.93766799,negcon,s2,147,122.28014177946234,0.8111897822991104,202.54989447672577,2023-07-04  10:22:00,2023-07-06  10:40:00
B23,PB000091,1,1,1e-10,14079098.93766799,negcon,s1,45,12.092130463600366,0.8724138124269849,23.62999109796592,2023-07-04  10:21:00,2023-07-06  10:40:00
B23,PB000091,1,1,1e-10,14079098.93766799,negcon,s2,86,11.474696446173414,0.8110939242214943,18.101134550191915,2023-07-04  10:21:00,2023-07-06  10:40:00
C02,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,257,116.5517263543445,0.8565472796279384,192.71874667915205,2023-07-04  10:20:00,2023-07-06  10:40:00
C02,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,272,119.75493011501864,0.8010529234201755,198.9850468893069,2023-07-04  10:20:00,2023-07-06  10:40:00
C03,PB000091,0,0,4.0000000000000004e-11,1.0,poscon,s1,89,97.73654998012674,0.7609172422614309,165.67862043400905,2023-07-04  10:21:00,2023-07-06  10:40:00
C03,PB000091,0,0,4.0000000000000004e-11,1.0,poscon,s2,131,104.36148504300417,0.8138479084634166,166.34543683629616,2023-07-04  10:21:00,2023-07-06  10:40:00
C04,PB000093,3,0,4e-10,10.0,poscon,s1,216,104.9585910728205,0.8047700014223602,175.73325859281164,2023-07-04  10:21:30,2023-07-06  10:40:00
C04,PB000093,3,0,4e-10,10.0,poscon,s2,198,114.0440153853078,0.7077286400330415,205.90737833269105,2023-07-04  10:21:30,2023-07-06  10:40:00
C05,PB000092,2,1,4e-10,10.0,negcon,s1,45,10.316826623678397,0.6836386173250226,15.755572423623216,2023-07-04  10:46:00,2023-07-06  12:49:00
C05,PB000092,2,1,4e-10,10.0,negcon,s2,22,27.756941958801427,0.7937757920586079,48.51134130300238,2023-07-04  10:46:00,2023-07-06  12:49:00
C06,PB000099,3,0,4e-10,10.0,poscon,s1,209,128.94348100842964,0.8163286439588946,207.6340544744569,2023-07-04  10:23:00,2023-07-06  10:40:00
C06,PB000099,3,0,4e-10,10.0,poscon,s2,170,128.92142996623198,0.812379730189676,199.4235869547525,2023-07-04  10:23:00,2023-07-06  10:40:00
C07,PB000089,2,1,4e-10,10.0,negcon,s1,192,119.1655268983071,0.7811966633793896,203.22794097309549,2023-07-04  10:20:30,2023-07-06  10:40:00
C07,PB000089,2,1,4e-10,10.0,negcon,s2,195,125.20232411167792,0.8265035079674667,203.0883192383295,2023-07-04  10:20:30,2023-07-06  10:40:00
C08,PB000092,0,0,3.90625e-11,10.0,poscon,s1,158,110.10212465932936,0.740304201430609,207.6732680921928,2023-07-04  10:46:00,2023-07-06  12:49:00
C08,PB000092,0,0,3.90625e-11,10.0,poscon,s2,178,120.95400767353868,0.8648214272975613,196.9230352274328,2023-07-04  10:46:00,2023-07-06  12:49:00
C09,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,114,107.64075006700747,0.7531841979356932,204.59351225216423,2023-07-04  10:20:00,2023-07-06  10:40:00
C09,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,99,120.93942151279248,0.819170602370168,196.1836276824095,2023-07-04  10:20:00,2023-07-06  10:40:00
C10,PB000097,2,1,4.0000000000000004e-11,1.0,negcon,s1,28,20.69383930771496,0.7772268557908992,43.22135610815771,2023-07-04  10:22:30,2023-07-06  10:40:00
C10,PB000097,2,1,4.0000000000000004e-11,1.0,negcon,s2,26,81.33503329304466,0.7866593031924789,150.08440069880515,2023-07-04  10:22:30,2023-07-06  10:40:00
C11,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,41,8.995726469891384,0.832840645059586,14.829922639871777,2023-07-04  10:21:30,2023-07-06  10:40:00
C11,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,21,13.234591506138951,0.879960534927831,21.75435147323483,2023-07-04  10:21:30,2023-07-06  10:40:00
C12,PB000090,2,1,4.0000000000000004e-11,1.0,negcon,s1,40,85.050512473997,0.8457625252916203,126.24125494744254,2023-07-04  10:45:30,2023-07-06  12:49:00
C12,PB000090,2,1,4.0000000000000004e-11,1.0,negcon,s2,38,83.0053111913355,0.8313285094184609,173.48825715728907,2023-07-04  10:45:30,2023-07-06  12:49:00
C13,PB000091,2,1,4.0000000000000004e-11,1.0,negcon,s1,206,140.576914619187,0.8131248630646708,223.5774923287896,2023-07-04  10:21:00,2023-07-06  10:40:00
C13,PB000091,2,1,4.0000000000000004e-11,1.0,negcon,s2,190,133.98390798339352,0.8083664716011295,209.3550261679939,2023-07-04  10:21:00,2023-07-06  10:40:00
C14,PB000098,2,1,4.0000000000000004e-11,1.0,negcon,s1,232,123.87435706639828,0.7724811643477338,207.9092501300284,2023-07-04  10:47:30,2023-07-06  12:49:00
C14,PB000098,2,1,4.0000000000000004e-11,1.0,negcon,s2,267,137.61830257858978,0.8155685544389836,229.81052271861316,2023-07-04  10:47:30,2023-07-06  12:49:00
C15,PB000090,3,0,4.0000000000000004e-11,1.0,poscon,s1,223,123.5493233222966,0.7898051206781967,206.87261675304413,2023-07-04  10:45:30,2023-07-06  12:49:00
C15,PB000090,3,0,4.0000000000000004e-11,1.0,poscon,s2,260,121.57797890043892,0.7999228659682407,201.9395009834655,2023-07-04  10:45:30,2023-07-06  12:49:00
C16,PB000089,3,0,4e-10,10.0,poscon,s1,244,126.29206485288888,0.7988103964971628,212.56786934300712,2023-07-04  10:20:30,2023-07-06  10:40:00
C16,PB000089,3,0,4e-10,10.0,poscon,s2,197,123.89564638656148,0.7632159681309546,208.63678812813637,2023-07-04  10:20:30,2023-07-06  10:40:00
C17,PB000092,1,1,1e-10,14079098.93766799,negcon,s1,266,132.15583602315616,0.8429823039455756,206.91179730291287,2023-07-04  10:46:00,2023-07-06  12:49:00
C17,PB000092,1,1,1e-10,14079098.93766799,negcon,s2,274,133.7034323584394,0.8186664200054459,213.41655102258835,2023-07-04  10:46:00,2023-07-06  12:49:00
C18,PB000090,1,1,1e-10,14079098.93766799,negcon,s1,113,6.252253948982687,0.8280886880693041,10.0086382443453,2023-07-04  10:45:30,2023-07-06  12:49:00
C18,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,20,10.564670241445164,0.8299601324646579,17.284555600773068,2023-07-04  10:45:30,2023-07-06  12:49:00
C19,PB000092,3,0,4e-10,10.0,poscon,s1,157,111.45285727266238,0.7182721442088073,199.0878354860085,2023-07-04  10:46:00,2023-07-06  12:49:00
C19,PB000092,3,0,4e-10,10.0,poscon,s2,265,120.33135078866808,0.7759176866121693,212.04027694163855,2023-07-04  10:46:00,2023-07-06  12:49:00
C20,PB000089,1,1,1e-10,14079098.93766799,negcon,s1,321,123.92027221556393,0.812714933196837,199.8517280775711,2023-07-04  10:20:30,2023-07-06  10:40:00
C20,PB000089,1,1,1e-10,14079098.93766799,negcon,s2,343,119.66902859091962,0.7950368610356144,197.6092314413031,2023-07-04  10:20:30,2023-07-06  10:40:00
C21,PB000094,1,1,1e-10,14079098.93766799,negcon,s1,119,102.25145905281464,0.7705792541108164,166.0269647216484,2023-07-04  10:46:30,2023-07-06  12:49:00
C21,PB000094,1,1,1e-10,14079098.93766799,negcon,s2,166,97.94534697618596,0.7595816971692109,173.49230136545242,2023-07-04  10:46:30,2023-07-06  12:49:00
C22,PB000096,1,1,1e-10,14079098.93766799,negcon,s1,230,116.87333164884154,0.821688876878536,199.3218622829465,2023-07-04  10:47:00,2023-07-06  12:49:00
C22,PB000096,1,1,1e-10,14079098.93766799,negcon,s2,218,128.2703392035727,0.754036991572405,230.6840413987745,2023-07-04  10:47:00,2023-07-06  12:49:00
C23,PB000093,2,1,4e-10,10.0,negcon,s1,276,133.28944976667404,0.8105439521428754,212.98675410836933,2023-07-04  10:21:30,2023-07-06  10:40:00
C23,PB000093,2,1,4e-10,10.0,negcon,s2,272,133.2072021555659,0.8068028328129133,212.80144588482165,2023-07-04  10:21:30,2023-07-06  10:40:00
D02,PB000091,3,0,3.90625e-11,10.0,poscon,s1,227,115.17455571107972,0.796825051399417,195.1599470421303,2023-07-04  10:21:00,2023-07-06  10:40:00
D02,PB000091,3,0,3.90625e-11,10.0,poscon,s2,281,123.0573600681535,0.8198210012890115,206.4399444036783,2023-07-04  10:21:00,2023-07-06  10:40:00
D03,PB000090,1,1,1e-10,14079098.93766799,negcon,s1,247,107.831782816609,0.765329026563234,189.6946451597464,2023-07-04  10:45:30,2023-07-06  12:49:00
D03,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,244,123.6246466898222,0.8295303780173278,201.8626776654828,2023-07-04  10:45:30,2023-07-06  12:49:00
D04,PB000091,1,1,1e-10,14079098.93766799,negcon,s1,205,120.18693029582796,0.8153711321293635,195.01288258423045,2023-07-04  10:21:00,2023-07-06  10:40:00
D04,PB000091,1,1,1e-10,14079098.93766799,negcon,s2,137,93.71460079782432,0.7608179124945075,153.64916191957894,2023-07-04  10:21:00,2023-07-06  10:40:00
D05,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,201,118.04062099829346,0.8318326404009102,197.7448848841005,2023-07-04  10:20:00,2023-07-06  10:40:00
D05,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,202,131.11053938067653,0.8165382711198712,207.54561105199448,2023-07-04  10:20:00,2023-07-06  10:40:00
D06,PB000089,2,1,4.0000000000000004e-11,1.0,negcon,s1,169,120.2909444672429,0.8515585662559624,190.85409871726424,2023-07-04  10:20:30,2023-07-06  10:40:00
D06,PB000089,2,1,4.0000000000000004e-11,1.0,negcon,s2,265,127.16974100126976,0.778720779711677,221.2635018048118,2023-07-04  10:20:30,2023-07-06  10:40:00
D07,PB000093,2,1,3.90625e-11,10.0,negcon,s1,188,131.68734139039196,0.7750835570373161,223.9299935777025,2023-07-04  10:21:30,2023-07-06  10:40:00
D07,PB000093,2,1,3.90625e-11,10.0,negcon,s2,218,129.86950051432103,0.7476548279520441,234.48942931525676,2023-07-04  10:21:30,2023-07-06  10:40:00
D08,PB000096,2,1,3.90625e-11,10.0,negcon,s1,169,119.78026192363052,0.7756562171879976,208.572588363694,2023-07-04  10:47:00,2023-07-06  12:49:00
D08,PB000096,2,1,3.90625e-11,10.0,negcon,s2,226,130.775360741641,0.8029217780635615,214.6736988248514,2023-07-04  10:47:00,2023-07-06  12:49:00
D09,PB000094,3,0,3.90625e-11,10.0,poscon,s1,80,115.26486045836626,0.8178899116452835,193.9717949940417,2023-07-04  10:46:30,2023-07-06  12:49:00
D09,PB000094,3,0,3.90625e-11,10.0,poscon,s2,82,110.34869897638458,0.7929210848019248,186.07541971398985,2023-07-04  10:46:30,2023-07-06  12:49:00
D10,PB000089,0,0,4e-10,10.0,poscon,s1,189,124.8726365098491,0.8183745026298929,201.92281473555184,2023-07-04  10:20:30,2023-07-06  10:40:00
D10,PB000089,0,0,4e-10,10.0,poscon,s2,264,127.29852821219478,0.8299269204706579,209.50790362919216,2023-07-04  10:20:30,2023-07-06  10:40:00
D11,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,210,122.91287007997168,0.7486656132597415,210.62457310200605,2023-07-04  10:20:00,2023-07-06  10:40:00
D11,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,241,128.1438181877201,0.8140382962705801,213.18635199535944,2023-07-04  10:20:00,2023-07-06  10:40:00
D12,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,118,119.89827150947887,0.7587837227206765,202.52392935604055,2023-07-04  10:20:00,2023-07-06  10:40:00
D12,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,129,133.30700922967367,0.828234685407576,218.49879874121163,2023-07-04  10:20:00,2023-07-06  10:40:00
D13,PB000090,3,0,4e-10,10.0,poscon,s1,65,83.7906682207094,0.7843990822094041,147.19737379387993,2023-07-04  10:45:30,2023-07-06  12:49:00
D13,PB000090,3,0,4e-10,10.0,poscon,s2,41,113.40337156955135,0.9086029304202936,171.54576008226593,2023-07-04  10:45:30,2023-07-06  12:49:00
D14,PB000089,1,1,1e-10,14079098.93766799,negcon,s1,142,118.57787130913808,0.8405580354955753,198.51978674795893,2023-07-04  10:20:30,2023-07-06  10:40:00
D14,PB000089,1,1,1e-10,14079098.93766799,negcon,s2,200,116.25042108468014,0.781916093395748,212.1104054286056,2023-07-04  10:20:30,2023-07-06  10:40:00
D15,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,221,132.2153539037817,0.8342772655194621,218.51452426656303,2023-07-04  10:20:00,2023-07-06  10:40:00
D15,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,259,128.96744667756573,0.7828616473250788,221.0476600436995,2023-07-04  10:20:00,2023-07-06  10:40:00
D16,PB000091,0,0,4e-10,10.0,poscon,s1,163,125.70220109866078,0.7725228127933572,208.7592568823631,2023-07-04  10:21:00,2023-07-06  10:40:00
D16,PB000091,0,0,4e-10,10.0,poscon,s2,240,134.21046604731487,0.7641859736605208,223.5166905581736,2023-07-04  10:21:00,2023-07-06  10:40:00
D17,PB000102,3,0,3.90625e-11,10.0,poscon,s1,208,120.61101528548144,0.7809165397643109,203.5174358179235,2023-07-04  10:48:30,2023-07-06  12:49:00
D17,PB000102,3,0,3.90625e-11,10.0,poscon,s2,217,128.81413283073994,0.8373193078963703,201.2038457634271,2023-07-04  10:48:30,2023-07-06  12:49:00
D18,PB000093,2,1,4.0000000000000004e-11,1.0,negcon,s1,91,101.08340240755903,0.7863128047395626,162.59189977722673,2023-07-04  10:21:30,2023-07-06  10:40:00
D18,PB000093,2,1,4.0000000000000004e-11,1.0,negcon,s2,168,114.2776576566377,0.8097923494256694,180.654241748593,2023-07-04  10:21:30,2023-07-06  10:40:00
D19,PB000095,1,1,1e-10,14079098.93766799,negcon,s1,168,124.60935353380384,0.7987692657297076,213.015263534148,2023-07-04  10:22:00,2023-07-06  10:40:00
D19,PB000095,1,1,1e-10,14079098.93766799,negcon,s2,181,123.9363904914732,0.7753914312216555,225.2279437954317,2023-07-04  10:22:00,2023-07-06  10:40:00
D20,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,89,101.95724645239522,0.7694988513973338,175.49210263533274,2023-07-04  10:20:00,2023-07-06  10:40:00
D20,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,140,128.41985007173042,0.8215278672243423,198.67787183244764,2023-07-04  10:20:00,2023-07-06  10:40:00
D21,PB000089,2,1,3.90625e-11,10.0,negcon,s1,159,120.44484622957556,0.7716288149087073,207.7588434418402,2023-07-04  10:20:30,2023-07-06  10:40:00
D21,PB000089,2,1,3.90625e-11,10.0,negcon,s2,150,123.49322747930628,0.7955882272308813,207.6048250884458,2023-07-04  10:20:30,2023-07-06  10:40:00
D22,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,193,125.9248720514661,0.809038504043017,204.8656001479405,2023-07-04  10:21:30,2023-07-06  10:40:00
D22,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,139,102.86216680405477,0.8140244559846165,174.92754178579364,2023-07-04  10:21:30,2023-07-06  10:40:00
D23,PB000094,1,1,1e-10,14079098.93766799,negcon,s1,135,112.63274949045253,0.806986733452398,192.33395424188964,2023-07-04  10:46:30,2023-07-06  12:49:00
D23,PB000094,1,1,1e-10,14079098.93766799,negcon,s2,292,128.24726161839754,0.7995144219883934,212.97155325670676,2023-07-04  10:46:30,2023-07-06  12:49:00
E02,PB000089,3,0,4.0000000000000004e-11,1.0,poscon,s1,185,117.9721089461156,0.7794968967330209,204.50053400640385,2023-07-04  10:20:30,2023-07-06  10:40:00
E02,PB000089,3,0,4.0000000000000004e-11,1.0,poscon,s2,253,111.48924601610284,0.7766073156166515,194.38131904803768,2023-07-04  10:20:30,2023-07-06  10:40:00
E03,PB000096,0,0,3.90625e-11,10.0,poscon,s1,21,15.09102719882696,0.7166225395619138,27.202390877355644,2023-07-04  10:47:00,2023-07-06  12:49:00
E03,PB000096,0,0,3.90625e-11,10.0,poscon,s2,20,58.41518532743942,0.7456995085619811,126.04184275138142,2023-07-04  10:47:00,2023-07-06  12:49:00
E04,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,184,126.26537538601092,0.7796365436381081,216.24535836276965,2023-07-04  10:20:00,2023-07-06  10:40:00
E04,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,183,128.730907113536,0.7989005799394838,212.83155693012563,2023-07-04  10:20:00,2023-07-06  10:40:00
E05,PB000093,1,1,1e-10,14079098.93766799,negcon,s1,224,121.9318845898015,0.7896711292667975,211.07777002471755,2023-07-04  10:21:30,2023-07-06  10:40:00
E05,PB000093,1,1,1e-10,14079098.93766799,negcon,s2,221,122.93424941019946,0.7924589971068912,207.18630451549043,2023-07-04  10:21:30,2023-07-06  10:40:00
E06,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,257,116.84917057587728,0.7844949184342693,195.66924709422477,2023-07-04  10:20:00,2023-07-06  10:40:00
E06,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,223,104.27598972348768,0.7571121879752457,190.55075988937224,2023-07-04  10:20:00,2023-07-06  10:40:00
E07,PB000090,0,0,4e-10,10.0,poscon,s1,229,114.36994045945734,0.7836882968923281,196.77853907804416,2023-07-04  10:45:30,2023-07-06  12:49:00
E07,PB000090,0,0,4e-10,10.0,poscon,s2,236,122.22760910709616,0.789478183652398,203.13135771419516,2023-07-04  10:45:30,2023-07-06  12:49:00
E08,PB000103,1,1,1e-10,14079098.93766799,negcon,s1,205,143.21295764278946,0.8320713532175182,235.55463103205724,2023-07-04  10:20:00,2023-07-06  10:40:00
E08,PB000103,1,1,1e-10,14079098.93766799,negcon,s2,179,118.26056349955827,0.7990573427430883,196.400760061258,2023-07-04  10:20:00,2023-07-06  10:40:00
E09,PB000095,2,1,4.0000000000000004e-11,1.0,negcon,s1,66,98.11046033915994,0.7570250848522697,185.375645452935,2023-07-04  10:22:00,2023-07-06  10:40:00
E09,PB000095,2,1,4.0000000000000004e-11,1.0,negcon,s2,82,105.07446426745378,0.7974843819290903,174.69189849497195,2023-07-04  10:22:00,2023-07-06  10:40:00
E10,PB000093,0,0,4.0000000000000004e-11,1.0,poscon,s1,51,16.028560600786115,0.8825925208944169,24.33193688757286,2023-07-04  10:21:30,2023-07-06  10:40:00
E10,PB000093,0,0,4.0000000000000004e-11,1.0,poscon,s2,52,10.24726062545792,0.7926347133563999,19.132031837315388,2023-07-04  10:21:30,2023-07-06  10:40:00
E11,PB000099,2,1,4.0000000000000004e-11,1.0,negcon,s1,217,129.86210291797605,0.8250439699180004,211.6245861838929,2023-07-04  10:23:00,2023-07-06  10:40:00
E11,PB000099,2,1,4.0000000000000004e-11,1.0,negcon,s2,202,122.20292240827158,0.7542012610195534,217.87529124326025,2023-07-04  10:23:00,2023-07-06  10:40:00
E12,PB000101,2,1,3.90625e-11,10.0,negcon,s1,74,99.72452358034442,0.8212712004573952,167.24656127186873,2023-07-04  10:23:30,2023-07-06  10:40:00
E12,PB000101,2,1,3.90625e-11,10.0,negcon,s2,94,98.94430272967608,0.7642377523140407,178.72609388423507,2023-07-04  10:23:30,2023-07-06  10:40:00
